ID,Cutting speed vc [m/min],Spindle speed n [1/min],Feed f [mm/rev],Feed rate vf [mm/min],Power Pc [kW],Cooling [%],Material,Drill Bit Type,Process Time [sec],Main Failure,BEF,CCF,FWF,WDF
5698,22.77,604,0.188,114,97.7,50,P,N,34.94,0,0,0,0,0
5699,22.69,602,0.195,117,100.12,50,P,N,34.42,0,0,0,0,0
5700,17.53,465,0.266,124,81.62,50,K,H,33.56,0,0,0,0,0
5701,29.72,788,0.23,182,203.6,75,N,W,18.96,0,0,0,0,0
5702,29.98,795,0.229,182,205.63,75,N,W,19.71,0,0,0,0,0
5703,17.85,473,0.266,126,84.66,50,K,H,31.48,0,0,0,0,0
5704,29.96,795,0.26,206,233.01,100,N,W,19.77,0,0,0,0,0
5705,17.52,465,0.256,119,78.48,50,K,H,31.41,0,0,0,0,0
5706,30.28,803,0.276,221,252.68,100,N,W,19.1,0,0,0,0,0
5707,22.52,597,0.192,114,97.17,50,P,N,37.21,0,0,0,0,0
5708,17.67,469,0.283,132,88.26,75,K,H,33.76,0,0,0,0,0
5709,22.94,609,0.203,123,106.68,50,P,N,33.48,0,0,0,0,0
5710,22.24,590,0.17,100,83.92,25,P,N,33.58,0,0,0,0,0
5711,30.17,800,0.244,196,222.41,75,N,W,19.53,0,0,0,0,0
5712,22.75,603,0.187,113,96.73,50,P,N,35.56,0,0,0,0,0
5713,17.56,466,0.262,122,80.83,50,K,H,31.79,0,0,0,0,0
5714,23.01,610,0.186,113,98.42,50,P,N,37.01,0,0,0,0,0
5715,17.64,468,0.27,126,84.09,50,K,H,34.4,0,0,0,0,0
5716,29.92,794,0.227,180,203.35,75,N,W,19.5,0,0,0,0,0
5717,22.8,605,0.175,106,91.05,50,P,N,36.41,0,0,0,0,0
5718,30.27,803,0.265,213,242.78,100,N,W,20.27,0,0,0,0,0
5719,22.17,588,0.157,93,77.39,25,P,N,34.78,0,0,0,0,0
5720,22.79,605,0.19,115,98.48,50,P,N,34.13,0,0,0,0,0
5721,17.07,453,0.245,111,71.28,50,K,H,33.79,0,0,0,0,0
5722,23,610,0.199,122,105.38,50,P,N,33.47,0,0,0,0,0
5723,22.75,603,0.194,117,100.35,50,P,N,33.39,0,0,0,0,0
5724,18.03,478,0.297,142,96.4,75,K,H,32.58,0,0,0,0,0
5725,22.53,598,0.177,106,89.69,50,P,N,35.46,0,0,0,0,0
5726,30.05,797,0.265,211,239.62,100,N,W,19.82,0,0,0,0,0
5727,17.79,472,0.286,135,90.49,75,K,H,33.82,0,0,0,0,0
5728,17.5,464,0.269,125,82.49,50,K,H,32.22,0,0,0,0,0
5729,29.42,780,0.201,157,174.25,75,N,W,19.18,0,0,0,0,0
5730,30.08,798,0.248,198,224.53,75,N,N,18.51,1,0,0,0,1
5731,17.74,471,0.27,127,85.02,50,K,H,32.52,0,0,0,0,0
5732,30.63,812,0.263,213,246.48,100,N,W,18.18,0,0,0,0,0
5733,17.53,465,0.264,123,81.13,50,K,H,34.07,0,0,0,0,0
5734,30,796,0.248,198,223.49,75,N,W,19.78,0,0,0,0,0
5735,17.88,474,0.274,130,87.62,50,K,H,33.09,0,0,0,0,0
5736,16.98,450,0.237,107,68.18,25,K,H,32.78,0,0,0,0,0
5737,29.79,790,0.238,188,211.26,75,N,W,19.94,0,0,0,0,0
5738,22.69,602,0.197,118,101.27,50,P,N,34.83,0,0,0,0,0
5739,30.07,798,0.26,208,235.4,100,N,W,17.99,0,0,0,0,0
5740,30.22,802,0.246,197,224.63,75,N,W,19.1,0,0,0,0,0
5741,22.99,610,0.193,118,101.96,50,P,N,34.32,0,0,0,0,0
5742,30.26,803,0.262,210,239.51,100,N,W,19.68,0,0,0,0,0
5743,17.31,459,0.243,112,72.95,50,K,H,33.25,0,0,0,0,0
5744,17.09,453,0.228,104,66.7,25,K,H,33.93,0,0,0,0,0
5745,17.31,459,0.252,116,75.49,50,K,H,32.68,0,0,0,0,0
5746,30.66,813,0.266,217,250.49,100,N,W,20.3,0,0,0,0,0
5747,30.55,810,0.291,236,271.57,100,N,W,20.25,0,0,0,0,0
5748,30.07,798,0.229,183,207.46,75,N,W,21.1,0,0,0,0,0
5749,17.5,464,0.247,115,75.63,50,K,H,31.99,0,0,0,0,0
5750,22.64,601,0.166,99,84.84,25,P,N,33.61,0,0,0,0,0
5751,16.97,450,0.213,96,61.29,25,K,H,32.18,0,0,0,0,0
5752,17.06,452,0.23,104,67.02,25,K,H,31.87,0,0,0,0,0
5753,17.7,470,0.29,136,90.86,75,K,H,34.72,0,0,0,0,0
5754,29.85,792,0.25,198,222.73,75,N,W,20.01,0,0,0,0,0
5755,17.58,466,0.245,114,75.67,50,K,H,33.64,0,0,0,0,0
5756,17.41,462,0.248,115,75.21,50,K,H,32.48,0,0,0,0,0
5757,22.07,585,0.144,84,70.12,0,P,N,35.2,0,0,0,0,0
5758,22.44,595,0.172,103,86.77,25,P,N,34.61,0,0,0,0,0
5759,22.53,598,0.163,98,82.86,25,P,N,36.24,0,0,0,0,0
5760,22.58,599,0.176,106,89.89,50,P,N,33.83,0,0,0,0,0
5761,17.38,461,0.257,118,77.59,50,K,H,32.61,0,0,0,0,0
5762,29.57,784,0.209,210,182.64,75,N,W,18.59,1,0,0,1,0
5763,23.01,610,0.21,128,111.28,75,P,N,35.69,0,0,0,0,0
5764,22.68,601,0.186,112,95.38,50,P,N,35.19,0,0,0,0,0
5765,17.35,460,0.26,120,78.2,50,K,H,32.88,0,0,0,0,0
5766,17.19,456,0.233,106,68.72,25,K,H,32.33,0,0,0,0,0
5767,22.67,601,0.186,112,95.76,50,P,N,34.87,0,0,0,0,0
5768,17.48,464,0.251,116,76.62,50,K,H,33.42,0,0,0,0,0
5769,29.74,789,0.237,187,209.24,75,N,W,21.05,0,0,0,0,0
5770,30.27,803,0.266,214,244.24,100,N,W,18.84,0,0,0,0,0
5771,22.9,607,0.187,113,97.84,50,P,N,35.88,0,0,0,0,0
5772,22.48,596,0.172,103,86.9,25,P,N,35.61,0,0,0,0,0
5773,23.21,616,0.217,134,117.06,75,P,N,35.28,0,0,0,0,0
5774,17.63,468,0.272,127,84.4,50,K,N,30.85,1,0,0,0,1
5775,22.26,590,0.149,88,73.66,0,P,W,35.56,1,0,1,0,1
5776,22.31,592,0.165,97,81.95,25,P,N,35.08,0,0,0,0,0
5777,29.72,788,0.231,182,204.24,75,N,W,18.48,0,0,0,0,0
5778,17.53,465,0.256,119,78.71,50,K,H,33.79,0,0,0,0,0
5779,17.6,467,0.261,122,80.72,50,K,H,30.82,0,0,0,0,0
5780,17.58,466,0.243,113,75.13,50,K,H,33.19,0,0,0,0,0
5781,22.76,604,0.201,122,104.31,50,P,N,33.54,0,0,0,0,0
5782,22.26,590,0.161,95,80.01,25,P,N,35.17,0,0,0,0,0
5783,29.93,794,0.233,185,208.85,75,N,W,20,0,0,0,0,0
5784,17.51,465,0.248,115,75.93,50,K,H,31.95,0,0,0,0,0
5785,22.6,600,0.155,93,79.04,25,P,N,35.34,0,0,0,0,0
5786,30.24,802,0.273,219,249.89,100,N,W,20,0,0,0,0,0
5787,17,451,0.26,117,75.13,50,K,H,32.61,0,0,0,0,0
5788,17.26,458,0.25,114,74.43,50,K,H,33.69,0,0,0,0,0
5789,17.41,462,0.261,121,79.17,50,K,H,32.36,0,0,0,0,0
5790,22.31,592,0.178,105,88.52,50,P,N,35.48,0,0,0,0,0
5791,22.93,608,0.186,113,97.67,50,P,N,34.76,0,0,0,0,0
5792,17.6,467,0.267,125,82.79,50,K,H,33.31,0,0,0,0,0
5793,22.46,596,0.144,86,72.74,0,P,N,34.75,0,0,0,0,0
5794,17.54,465,0.271,126,83.25,50,K,H,33.66,0,0,0,0,0
5795,17.8,472,0.275,130,87.01,50,K,H,33.05,0,0,0,0,0
5796,17.57,466,0.25,117,77.22,50,K,H,33.43,0,0,0,0,0
5797,22.46,596,0.161,96,81.39,25,P,N,35.82,0,0,0,0,0
5798,30.41,807,0.251,203,232.3,100,N,W,20.04,0,0,0,0,0
5799,23.29,618,0.236,146,128.11,75,P,N,36.83,0,0,0,0,0
5800,17.6,467,0.262,122,81.07,50,K,H,33.62,0,0,0,0,0
5801,17.18,456,0.221,101,65.11,25,K,H,30.44,0,0,0,0,0
5802,29.97,795,0.215,171,193.11,75,N,W,21.05,0,0,0,0,0
5803,23.28,617,0.203,125,109.81,75,P,N,35.05,0,0,0,0,0
5804,29.91,793,0.247,196,220.63,75,N,W,18.89,0,0,0,0,0
5805,17.25,458,0.253,116,75.31,50,K,H,32.26,0,0,0,0,0
5806,17.89,475,0.291,138,93.3,75,K,H,31.66,0,0,0,0,0
5807,22.91,608,0.198,121,104.12,50,P,N,34.63,0,0,0,0,0
5808,17.79,472,0.285,134,90.2,75,K,H,32.24,0,0,0,0,0
5809,22.65,601,0.178,107,91.15,50,P,N,34.75,0,0,0,0,0
5810,17.5,464,0.251,117,76.88,50,K,H,32.82,0,0,0,0,0
5811,17.15,455,0.256,117,75.34,50,K,H,31.78,0,0,0,0,0
5812,17.27,458,0.233,107,69.38,25,K,H,32.38,0,0,0,0,0
5813,17.26,458,0.238,109,70.97,50,K,H,33.58,0,0,0,0,0
5814,29.56,784,0.202,203,176.5,75,N,W,20.15,0,0,0,0,0
5815,30.39,806,0.262,211,241.73,100,N,W,20.16,0,0,0,0,0
5816,17.87,474,0.276,131,88.25,75,K,H,33.09,0,0,0,0,0
5817,22.62,600,0.165,99,84.36,25,P,N,35.16,0,0,0,0,0
5818,29.94,794,0.255,203,229.07,100,N,W,20.27,0,0,0,0,0
5819,22.13,587,0.155,91,75.92,25,P,N,33.3,0,0,0,0,0
5820,17.83,473,0.279,132,88.56,75,K,H,33.36,0,0,0,0,0
5821,30.28,803,0.236,189,215.99,75,N,W,20.44,0,0,0,0,0
5822,22.73,603,0.182,110,94.09,50,P,N,36.86,0,0,0,0,0
5823,22.91,608,0.195,118,102.24,50,P,N,33.99,0,0,0,0,0
5824,17.27,458,0.237,109,70.81,50,K,H,33.68,0,0,0,0,0
5825,16.96,450,0.209,94,59.96,0,K,H,33.91,0,0,0,0,0
5826,29.91,793,0.263,209,235.56,100,N,W,19.58,0,0,0,0,0
5827,22.72,603,0.183,110,94.19,50,P,N,34.36,0,0,0,0,0
5828,29.88,793,0.237,188,211.34,75,N,W,18.09,0,0,0,0,0
5829,17.52,465,0.237,110,72.8,50,K,H,33.11,0,0,0,0,0
5830,29.92,794,0.255,203,228.58,100,N,W,19.17,0,0,0,0,0
5831,17.38,461,0.236,109,71.18,50,K,H,33.87,0,0,0,0,0
5832,22.65,601,0.201,121,103.13,50,P,N,35.5,0,0,0,0,0
5833,17.01,451,0.233,105,67.38,25,K,H,31.82,0,0,0,0,0
5834,30.1,798,0.255,203,230.67,100,N,W,20.07,0,0,0,0,0
5835,30.39,806,0.251,202,231.78,100,N,W,19.33,0,0,0,0,0
5836,29.59,785,0.222,174,193.91,75,N,W,18.86,0,0,0,0,0
5837,22.5,597,0.176,105,88.88,50,P,N,33.85,0,0,0,0,0
5838,22.75,604,0.185,111,95.55,50,P,N,34.99,0,0,0,0,0
5839,30.51,809,0.278,225,258.7,100,N,W,19.32,0,0,0,0,0
5840,17.84,473,0.279,132,88.75,75,K,H,32.61,0,0,0,0,0
5841,22.03,584,0.147,86,71.29,0,P,N,35.8,0,0,0,0,0
5842,17.39,461,0.27,125,81.69,50,K,H,31.3,0,0,0,0,0
5843,30.03,797,0.223,178,201.46,75,N,W,18.34,0,0,0,0,0
5844,17.53,465,0.253,117,77.64,50,K,H,32.04,0,0,0,0,0
5845,22.37,593,0.168,100,84.27,25,P,N,35.5,0,0,0,0,0
5846,22.66,601,0.185,111,95.16,50,P,N,35.13,0,0,0,0,0
5847,22.65,601,0.166,99,84.94,25,P,N,34.05,0,0,0,0,0
5848,17.34,460,0.238,109,71.54,50,K,H,32.28,0,0,0,0,0
5849,17.67,469,0.273,128,85.27,50,K,H,34.41,0,0,0,0,0
5850,22.54,598,0.181,108,92.02,50,P,N,35,0,0,0,0,0
5851,17.43,462,0.243,112,73.8,50,K,H,33.49,0,0,0,0,0
5852,29.94,794,0.238,189,213.01,75,N,W,17.63,0,0,0,0,0
5853,22.6,599,0.175,105,89.53,50,P,N,34.73,0,0,0,0,0
5854,30.06,797,0.259,206,233.95,100,N,W,19.49,0,0,0,0,0
5855,17.52,465,0.254,118,77.85,50,K,H,32.32,0,0,0,0,0
5856,17.68,469,0.261,122,81.6,50,K,H,33.35,0,0,0,0,0
5857,29.69,787,0.206,162,181.61,75,N,W,20.67,0,0,0,0,0
5858,22.45,595,0.176,105,88.7,50,P,N,34.87,0,0,0,0,0
5859,17.48,464,0.238,110,72.67,50,K,H,32.35,0,0,0,0,0
5860,22.86,606,0.211,128,110.01,75,P,N,34.4,0,0,0,0,0
5861,22.66,601,0.171,103,87.66,25,P,N,35.88,0,0,0,0,0
5862,17.11,454,0.229,135,67.08,25,K,H,31.93,1,0,1,0,0
5863,30.4,807,0.288,232,266.24,100,N,W,19.6,0,0,0,0,0
5864,17.25,458,0.255,117,76.01,50,K,H,33.54,0,0,0,0,0
5865,29.61,785,0.228,230,200.14,75,N,W,19.55,1,0,0,1,0
5866,22.51,597,0.16,124,81.19,25,P,N,33.57,0,0,0,0,0
5867,17.03,452,0.235,106,68.13,25,K,H,33.3,0,0,0,0,0
5868,22.76,604,0.192,116,99.4,50,P,N,34.86,0,0,0,0,0
5869,22.31,592,0.171,101,84.96,25,P,N,34.53,0,0,0,0,0
5870,22.18,588,0.151,89,74.36,25,P,N,36.6,0,0,0,0,0
5871,30.21,801,0.245,196,223.75,75,N,W,18.16,0,0,0,0,0
5872,30.44,807,0.268,216,248.3,100,N,W,18.68,0,0,0,0,0
5873,29.95,795,0.229,182,205.87,75,N,W,17.89,0,0,0,0,0
5874,30.45,808,0.263,212,243.87,100,N,W,20.66,0,0,0,0,0
5875,17.11,454,0.229,104,67.14,25,K,H,32.66,0,0,0,0,0
5876,22.77,604,0.203,123,105.42,50,P,N,35.03,0,0,0,0,0
5877,21.85,580,0.136,102,64.81,0,P,N,34.99,1,1,0,0,0
5878,22.85,606,0.194,118,101.49,50,P,N,36.33,0,0,0,0,0
5879,30.17,800,0.249,199,226.88,75,N,W,19.89,0,0,0,0,0
5880,21.97,583,0.131,98,63.26,0,P,N,33.92,1,1,0,0,0
5881,17.17,456,0.231,105,68.23,25,K,H,29.94,0,0,0,0,0
5882,22.51,597,0.147,88,74.28,0,P,N,35.08,0,0,0,0,0
5883,17.31,459,0.227,136,68.12,25,K,H,33.3,1,0,1,0,0
5884,23.19,615,0.22,135,118.24,75,P,N,34.95,0,0,0,0,0
5885,17.37,461,0.269,124,81.06,50,K,H,33.36,0,0,0,0,0
5886,29.87,792,0.243,192,216.6,75,N,W,20.28,0,0,0,0,0
5887,29.87,792,0.225,179,201.1,75,N,W,19.83,0,0,0,0,0
5888,30.06,797,0.222,177,200.65,75,N,W,19.89,0,0,0,0,0
5889,17.82,473,0.282,134,89.73,75,K,H,33.33,0,0,0,0,0
5890,29.91,793,0.239,189,213.43,75,N,W,20.67,0,0,0,0,0
5891,30.07,798,0.264,210,238.63,100,N,W,19.81,0,0,0,0,0
5892,22.61,600,0.161,96,82.08,25,P,N,35.51,0,0,0,0,0
5893,22.86,606,0.191,116,99.61,50,P,N,35.42,0,0,0,0,0
5894,22.87,607,0.197,119,102.82,50,P,N,33.43,0,0,0,0,0
5895,22.46,596,0.189,113,95.34,50,P,N,33.65,0,0,0,0,0
5896,22.24,590,0.154,118,76.1,25,P,N,35,0,0,0,0,0
5897,22.4,594,0.18,107,90.16,50,P,N,34.88,0,0,0,0,0
5898,22.85,606,0.202,123,105.75,50,P,N,34.94,0,0,0,0,0
5899,29.77,790,0.224,177,198.54,75,N,W,19.59,0,0,0,0,0
5900,17.4,462,0.253,117,76.62,50,K,H,32.71,0,0,0,0,0
5901,22.58,599,0.19,114,97.03,50,P,N,35.98,0,0,0,0,0
5902,17.26,458,0.223,102,66.51,25,K,H,33.94,0,0,0,0,0
5903,22.29,591,0.175,103,86.7,25,P,N,36.26,0,0,0,0,0
5904,30.42,807,0.275,222,254.99,100,N,W,20,0,0,0,0,0
5905,17.65,468,0.252,118,78.45,50,K,H,33.18,0,0,0,0,0
5906,22.89,607,0.199,121,104.38,50,P,N,34.89,0,0,0,0,0
5907,17.13,455,0.249,113,73.19,50,K,H,33.35,0,0,0,0,0
5908,17.55,465,0.263,122,80.86,50,K,H,33.8,0,0,0,0,0
5909,17.41,462,0.266,123,80.52,50,K,H,31.79,0,0,0,0,0
5910,22.37,593,0.177,105,88.42,50,P,N,33.86,0,0,0,0,0
5911,29.89,793,0.252,200,225.3,75,N,W,20.12,0,0,0,0,0
5912,16.44,436,0.197,86,53.26,0,K,H,33.83,1,1,0,0,0
5913,22.43,595,0.188,112,94.84,50,P,N,35.09,0,0,0,0,0
5914,29.78,790,0.243,192,215.33,75,N,W,19.59,0,0,0,0,0
5915,22.83,606,0.2,121,104.41,50,P,N,35.3,0,0,0,0,0
5916,17.27,458,0.252,116,75.28,50,K,H,33.45,0,0,0,0,0
5917,17.3,459,0.233,107,69.84,25,K,H,32.82,0,0,0,0,0
5918,23.17,615,0.21,129,112.5,75,P,N,34.82,0,0,0,0,0
5919,30.1,798,0.258,206,233.69,100,N,W,20.41,0,0,0,0,0
5920,17.57,466,0.26,121,80.17,50,K,H,33.42,0,0,0,0,0
5921,17.44,463,0.24,111,73.07,50,K,H,33.95,0,0,0,0,0
5922,30.01,796,0.244,194,219.9,75,N,W,20.89,0,0,0,0,0
5923,17.48,464,0.263,122,80.31,50,K,H,32.91,0,0,0,0,0
5924,22.49,596,0.196,117,99,50,P,N,34.87,0,0,0,0,0
5925,17.27,458,0.235,108,70.12,25,K,H,32.15,0,0,0,0,0
5926,30.38,806,0.239,193,220.8,75,N,W,20.52,0,0,0,0,0
5927,30.3,804,0.28,225,257.34,100,N,N,21.24,1,0,1,0,1
5928,17.13,454,0.226,102,66.17,25,K,H,33.56,0,0,0,0,0
5929,22.26,591,0.159,94,79.01,25,P,N,36.19,0,0,0,0,0
5930,29.22,775,0.21,163,179.49,75,N,W,19.31,0,0,0,0,0
5931,17.81,472,0.283,134,89.82,75,K,H,32.91,0,0,0,0,0
5932,17.11,454,0.243,110,71.23,50,K,H,31.53,0,0,0,0,0
5933,29.41,780,0.221,221,191.38,75,N,W,20.66,1,0,0,1,0
5934,29.86,792,0.239,189,212.7,75,N,W,19.35,0,0,0,0,0
5935,22.33,592,0.149,88,74.09,0,P,N,34.34,0,0,0,0,0
5936,30.06,797,0.251,200,226.48,75,N,W,19.42,0,0,0,0,0
5937,17.43,462,0.273,126,82.91,50,K,H,32.77,0,0,0,0,0
5938,22.47,596,0.191,114,96.67,50,P,N,34.29,0,0,0,0,0
5939,22.81,605,0.183,110,94.96,50,P,N,36.61,0,0,0,0,0
5940,22.39,594,0.151,90,75.77,25,P,N,35.35,0,0,0,0,0
5941,17.91,475,0.289,137,92.77,75,K,H,32.52,0,0,0,0,0
5942,17.2,456,0.24,110,71.11,50,K,H,32.88,0,0,0,0,0
5943,22.59,599,0.171,103,87.34,25,P,N,34.24,0,0,0,0,0
5944,29.9,793,0.243,193,217.38,75,N,W,19.35,0,0,0,0,0
5945,22.36,593,0.175,104,87.57,50,P,N,33.42,0,0,0,0,0
5946,22.94,609,0.226,138,118.97,75,P,N,35.97,0,0,0,0,0
5947,22.65,601,0.18,108,92.54,50,P,N,34.4,0,0,0,0,0
5948,23.05,611,0.195,119,103.79,50,P,N,35.4,0,0,0,0,0
5949,17.38,461,0.234,108,70.61,25,K,H,33.07,0,0,0,0,0
5950,22.01,584,0.144,84,69.86,0,P,N,37.1,0,0,0,0,0
5951,17.39,461,0.262,121,79.28,50,K,H,32.97,0,0,0,0,0
5952,30.02,796,0.262,209,236.13,100,N,W,18.87,0,0,0,0,0
5953,30.4,806,0.287,232,265.42,100,N,W,18.98,0,0,0,0,0
5954,22.24,590,0.181,107,89.43,50,P,N,34.43,0,0,0,0,0
5955,17.09,453,0.223,101,65.16,25,K,H,33.24,0,0,0,0,0
5956,17.94,476,0.28,133,90.11,75,K,H,32.17,0,0,0,0,0
5957,29.45,781,0.231,181,200.69,75,N,W,19.34,0,0,0,0,0
5958,16.98,450,0.247,111,71.11,50,K,H,33.04,0,0,0,0,0
5959,23.09,612,0.203,125,108.44,50,P,N,37.57,0,0,0,0,0
5960,17.48,464,0.255,118,77.99,50,K,H,31.58,0,0,0,0,0
5961,29.59,785,0.232,233,203.16,75,N,W,20.36,1,0,0,1,0
5962,29.55,784,0.226,178,197.79,75,N,W,19.62,0,0,0,0,0
5963,22.73,603,0.184,111,94.92,50,P,N,34.81,0,0,0,0,0
5964,22.65,601,0.192,115,98.61,50,P,W,34.92,1,0,0,0,1
5965,17.27,458,0.244,112,72.64,50,K,H,33.84,0,0,0,0,0
5966,29.99,796,0.226,180,203.13,75,N,W,19.4,0,0,0,0,0
5967,30.04,797,0.245,195,220.99,75,N,W,18.92,0,0,0,0,0
5968,17.14,455,0.221,100,64.82,25,K,H,32.85,0,0,0,0,0
5969,22.46,596,0.178,106,89.67,50,P,N,34.96,0,0,0,0,0
5970,22.65,601,0.171,133,87.66,25,P,N,36.54,1,0,1,0,0
5971,30.18,800,0.252,202,229.85,75,N,W,20.8,0,0,0,0,0
5972,17.75,471,0.262,124,82.7,50,K,H,31.66,0,0,0,0,0
5973,17.3,459,0.256,117,76.46,50,K,W,33.88,1,0,0,0,1
5974,17.9,475,0.278,132,89.14,75,K,H,30.82,0,0,0,0,0
5975,17.2,456,0.251,115,74.4,50,K,H,33.24,0,0,0,0,0
5976,22.22,589,0.152,90,75.29,25,P,N,35.11,0,0,0,0,0
5977,23.26,617,0.203,125,109.73,75,P,N,33.36,0,0,0,0,0
5978,30.28,803,0.241,194,221.34,75,N,W,18.71,0,0,0,0,0
5979,30.21,801,0.257,206,234.51,100,N,W,20.59,0,0,0,0,0
5980,17.16,455,0.234,138,68.77,25,K,H,32.44,1,0,1,0,0
5981,17.24,457,0.241,110,71.54,50,K,H,32.35,0,0,0,0,0
5982,17.28,458,0.239,109,71.33,50,K,H,31.8,0,0,0,0,0
5983,30.49,809,0.263,213,244.95,100,N,W,18.26,0,0,0,0,0
5984,30.85,818,0.304,248,289,100,N,W,20.19,0,0,0,0,0
5985,22.68,602,0.188,113,96.79,50,P,N,35.34,0,0,0,0,0
5986,17.32,459,0.247,114,74.13,50,K,W,31.96,1,0,0,0,1
5987,17.4,461,0.264,122,79.84,50,K,H,32.11,0,0,0,0,0
5988,17.35,460,0.254,117,76.29,50,K,H,33.51,0,0,0,0,0
5989,17.56,466,0.261,122,80.59,50,K,H,33.08,0,0,0,0,0
5990,22.54,598,0.184,110,93.64,50,P,N,34.12,0,0,0,0,0
5991,22.52,597,0.169,101,85.79,25,P,N,34.92,0,0,0,0,0
5992,22.82,605,0.177,107,92.45,50,P,N,34.26,0,0,0,0,0
5993,22.49,597,0.168,100,84.78,25,P,N,34.49,0,0,0,0,0
5994,22.56,598,0.185,111,94.18,50,P,N,34.74,0,0,0,0,0
5995,30.23,802,0.259,208,236.89,100,N,W,18.71,0,0,0,0,0
5996,17.02,451,0.227,102,65.6,25,K,H,33.49,0,0,0,0,0
5997,17.36,460,0.257,118,77.49,50,K,H,34.01,0,0,0,0,0
5998,29.99,795,0.237,188,213.11,75,N,W,18.53,0,0,0,0,0
5999,17.64,468,0.258,121,80.43,50,K,H,33.79,0,0,0,0,0
6000,17.09,453,0.245,111,71.67,50,K,H,32.9,0,0,0,0,0
6001,22.55,598,0.196,117,99.59,50,P,N,34.22,0,0,0,0,0
6002,30.09,798,0.259,206,234.15,100,N,W,20.01,0,0,0,0,0
6003,29.81,791,0.23,182,204.69,75,N,W,18.97,0,0,0,0,0
6004,30.2,801,0.253,203,230.9,100,N,W,19.09,0,0,0,0,0
6005,16.93,449,0.234,105,66.98,25,K,H,33.84,0,0,0,0,0
6006,17.45,463,0.255,118,77.58,50,K,H,33.96,0,0,0,0,0
6007,29.91,793,0.222,176,198.95,75,N,W,18.27,0,0,0,0,0
6008,17.24,457,0.271,124,80.46,50,K,H,31.4,0,0,0,0,0
6009,22.39,594,0.19,113,95.28,50,P,N,36.54,0,0,0,0,0
6010,17.66,468,0.252,118,78.6,50,K,H,34.55,0,0,0,0,0
6011,22.81,605,0.188,114,97.76,50,P,N,34.06,0,0,0,0,0
6012,17.07,453,0.242,110,70.53,50,K,H,34.72,0,0,0,0,0
6013,22.8,605,0.2,121,103.89,50,P,N,33.69,0,0,0,0,0
6014,30.16,800,0.25,200,227.03,75,N,W,19.65,0,0,0,0,0
6015,22.35,593,0.188,111,93.8,50,P,N,36.51,0,0,0,0,0
6016,17,451,0.213,96,61.59,25,K,H,33.1,0,0,0,0,0
6017,17.44,463,0.268,124,81.48,50,K,H,34.01,0,0,0,0,0
6018,30.14,799,0.252,202,229.05,75,N,W,19.08,0,0,0,0,0
6019,22.3,592,0.168,130,83.77,25,P,W,36.37,1,0,1,0,1
6020,22.75,604,0.197,119,101.74,50,P,N,35.01,0,0,0,0,0
6021,30.39,806,0.254,205,234.68,100,N,W,20.7,0,0,0,0,0
6022,22.44,595,0.172,102,86.66,25,P,N,34.47,0,0,0,0,0
6023,22.88,607,0.182,110,95.12,50,P,N,33.14,0,0,0,0,0
6024,17.65,468,0.246,115,76.51,50,K,H,33.91,0,0,0,0,0
6025,22.47,596,0.167,100,84.46,25,P,N,36.78,0,0,0,0,0
6026,17.75,471,0.258,122,81.41,50,K,H,32.66,0,0,0,0,0
6027,30.16,800,0.266,213,242.01,100,N,W,20.75,0,0,0,0,0
6028,17.22,457,0.256,117,75.83,50,K,H,32.57,0,0,0,0,0
6029,30.55,810,0.273,221,254.62,100,N,W,20.11,0,0,0,0,0
6030,22.55,598,0.155,121,78.81,25,P,N,34.1,0,0,0,0,0
6031,17.3,459,0.24,110,71.81,50,K,H,32.46,0,0,0,0,0
6032,22.98,610,0.195,119,103.01,50,P,N,33.42,0,0,0,0,0
6033,17.02,451,0.246,111,71.32,50,K,H,33.8,0,0,0,0,0
6034,22.5,597,0.176,105,88.89,50,P,W,33.65,1,0,0,0,1
6035,23.11,613,0.194,119,103.34,50,P,N,35.31,0,0,0,0,0
6036,22.44,595,0.16,95,80.78,25,P,N,34.6,0,0,0,0,0
6037,22.93,608,0.178,108,93.79,50,P,N,34.74,0,0,0,0,0
6038,22.59,599,0.184,110,94.09,50,P,N,35.73,0,0,0,0,0
6039,17.53,465,0.254,118,78.05,50,K,H,34.86,0,0,0,0,0
6040,22.4,594,0.169,100,84.69,25,P,N,36.57,0,0,0,0,0
6041,29.66,787,0.221,174,194.09,75,N,W,19.79,0,0,0,0,0
6042,17.48,464,0.219,102,66.89,25,K,H,34.47,0,0,0,0,0
6043,22.87,607,0.2,122,104.78,50,P,N,34.61,0,0,0,0,0
6044,22.49,597,0.148,88,74.67,0,P,N,33.97,0,0,0,0,0
6045,17.3,459,0.224,103,66.9,25,K,H,31.47,0,0,0,0,0
6046,17.06,453,0.23,104,67.07,25,K,H,32.02,0,0,0,0,0
6047,23.06,612,0.207,127,110.22,75,P,N,34.97,0,0,0,0,0
6048,29.91,793,0.238,189,213.2,75,N,W,18.93,0,0,0,0,0
6049,17.25,458,0.23,105,68.55,25,K,H,33.16,0,0,0,0,0
6050,22.61,600,0.177,106,90.58,50,P,N,34.76,0,0,0,0,0
6051,30.09,798,0.245,195,221.61,75,N,W,20.71,0,0,0,0,0
6052,17.02,452,0.21,95,60.81,25,K,H,33.41,0,0,0,0,0
6053,22.23,590,0.16,94,78.89,25,P,N,34.09,0,0,0,0,0
